PROJECTE,URGENT,PRODUCTE(S),MUNICIPI,COM COMPRAR,OBSERVACIONS,CCPAE,COMARCA
3 Fermentats I Un Destí,Sí,1 Pa de Massa Mare Natural de 2kg 2 Vins Naturals 1 Formatge Artesà,Torelló,Ho repartim a domicili per tot Osona resta de Catalunya (consultar) Punt de recollida Jaume Jorda C/ Solsona VIC,Ens fa il.lusió poder colaborar per oferir-vos tres productes fondamentals i que donen valor el que nosaltres creiem. Jaume Jorda (vins naturals) La Selecta (formatges artesans) Méskpa / Sabors (pa de massa mare natura) www.meskpa.com,Sí,Osona
30 Cabres,,Formatges de llet crua de cabres que pasturen al Pirineu,Bellver de Cerdanya,"Contacta per telefon, mail o xarxes socials (@30cabres) i mirem quina és la millor opció per fer-te arribar el producte.","Tots els nostres formatges estan elaborats amb llet crua del nostre petit ramat de cabres, que pasturen a diari a 1500 metres al Pirineu.",,Cerdanya
7 de Ribera Hostal-Agrobotiga,Sí,Verdures de producció propia,Móra d'Ebre,A l'agrobotiga dijous i divendres de 10:00 a 13:30 i dijous a la tarde de 17:30 a 20:00 També repartim a domicili.,www.biosferacomestible.cat,,Ribera d’Ebre
A Granel,,"Cosmètica, productes d’higiène i neteja ecològics",Barcelona,"Venda directa i en punts de recollida per tota Catalunya. Durant letapa de confinament, fem repartiments a domicili",,Sí,Barcelona
AgroMontserratí - Cooperativa del Montserratí,,"Fruita, verdura, transformats, elaborats, pinsos, planter, llenya... Productes de proximitat i de temporada",Olesa de Montserrat,A través del Whatsap i Telèfon - XXXXXXXXX A l'Agrobotiga - C/Can Vinyals 23 - Nau 4 Olesa de Montserrat,www.agromontserrati.cat,,Baix Llobregat
Alaball Berros,Sí,"Producte Fresc Parc Agrari KM0 Créixens d'aigus, Espinacs, Faves, Figues, Cireres, Espècies Aromàtiques i Flors Comestibles",Viladecans,Recollida a camp o a domicili.,www.alaballberros.com,,Baix Llobregat
Anna Casa Perales,,Xai i cabrit,Pallars Sobirà,,,,Maresme
Apicultura BeeHappy,,Mel de romanÍ Mel de milflors Mel de timó Mel de muntanya,Juncosa,"Botigues de proximitat tenen els nostres productes, i també ens fan de punt de recollida si és el cas. Podeu consultar-les al web. Podeu comprar per la tenda en línia que trobareu a la web. Però la millor opció és contactar amb nosaltres via mail o telèfon i ens entenem per fer-vos arribar la mel.","La producció de mel que tenim és limitada. Podem garantir el subministrament de mel de milflors durant tots l'any, però els altres tipus de mel van en funció de la producció que en tenim. www.beehappy.cat",,Garrigues
Apit Integral,,Fruita i verdura ecològica,Els pallaresos,A la botiga al poble divendres i disabte mati.. i per enviaments em de parlar,,Sí,Tarragones
AQ verdures,,Horta.oli i vi,Manresa,Els dimarts cullo. Faig reparto a domicili nomes MAnresa i podrn venir a buscar-ho al camp. Comandes a traves de wassap.,,,Bages
Arantast,Sí,"Sidra,vinagre de sidra, mostassa de poma, salsa dolc- picant",25540 Les,El millor es per correu electrònic: xxxx@xxxxx.com,"Tots els nostres productes estan fets amb les varietats locals antigues de poma. No reben cap mena de tractament fitosanitari, però com que son varies propietàries, no ho puc certificar com a ecològic. Tots els altres ingredients si que son de agricultura ecològica certificada. arantastblogspot.com",,Vall d’Aran
Aresta cooperativa,,Pa i productes de fleca,Santa Coloma de Queralt,"Elaborem i distribuïm totes les setmanes els dilluns i dimecres. Tenim botiga pròpia a Santa Coloma i servim a grups de consum, petit comerç i restaurants.",aresta.coop,,Conca de Barberà
Associació Agroalimentària De Cerdanya,Sí,"Làctics (llet fresca, iogurts, flam) Formatges Vedella Xai Gelats Superaliment gratacul Cabrit",Cerdanya,"PUIGCERDÀ: La Solana, 2 (Agrobotiga) dimarts de 17 a 19 h i dissabte de 11 a 13 h BELLVER DE CERDANYA: Escoles, 11, Planta baixa (Làctics l'Esquella) dimarts de 17 a 19 h i dissabte de 11 a 13 h",www.agroalimentariacerdanya.cat,Sí,Cerdanya
Associació Cingle Vermell,Sí,"Leche de cabra(1litro) Queso de cabra (fresco, tierno, semicurado y curado) Yogurt de cabra ( de 450 ml y 850ml) Pan de espelta 600g Pan de centeno 600g",Alforja,,Facebook: associació cingle vermell,,Tarragona
Associació SomEsqueix Social,,Verdura,Cervelló,,Aliments amb tota la força vital! https://somesqueix.com/,,Baix Llobregat
"Assumpta Codinachs i Ramon Font C.B., Aixalda",,"Carn de vedella ecològica BRUNEC. Preparem caixetes de 10 kg de carn de vedella ecològica, tota tallada i envasada al buit, a punt per ser menjada i/o congelada, format familiar.",La Torre de Capdella (Pobellà),Fent la comanda per correu electrònic. Repartim amb la nostra furgoneta frigorífica Cada setmana fem una ruta diferent.,"Servim a grups de consum organitzats: siguin de cooperatives agroecològiques, siguin veïns d'una escala o d'un poble, siguin companys o companyes de la feina, ......  i també a famílies particulars. Tenim capacitat d'adaptació www.vedellabrunec.cat",Sí,Pallars Jussà
Aubagueta Formatges Ecològics,Sí,Formatges i mató de llet de cabra ecològic de propi ramat,Biosca,,,Sí,Segarra
Aurora Del Camp,,"Verdures ecològiques, fruita del país, ous, ametlles, oli, farines.",El Masnou,"Per internet, entrega a domicili. Contactar-nos per més info.",http://auroradelcamp.com,Sí,Maresme
Aviat,Sí,Pollastre penedesenc ecològic,Vandellòs i l'Hospitalet de l'Infant,Contactar via whatsapp al telèfon XXXXXXXXX ; o mitjançant correu electrònic a xxxx@xxxxx.cat Es pot fer comanda fins dilluns; repartiment dimecres i dijous de la mateixa setmana. Es realitzen enviaments a tota Catalunya. Consultar condicions de transport.,"Pollastre penedesenc criat entre 4 i 5 mesos. Se serveix en format sencer, a quarts o a octaus. Més informació sobre els nostres pollastres a: https://www.aviat.cat/proces-de-creixement www.aviat.cat/compra",Sí,Baix Camp
BdeGust Cervesa Compromesa,Sí,Cervesa eco-Lager amb llúpol de KM-0 (certificat ecològic CCPAE i certificat vegà),Caldes de Malavella,Online o enviant un whatsapp o trucant al XXXXXXXXX ,"Intentem concentrar totes les entregues en un sol dia a la setmana, assegurant totes les mesures d'higiene i seguretat. Et deixem les cerveses a la porta de casa teva Www.bdegust.beer",Sí,Selva
Bedous,,Ous ecològics,El Bedorc (piera),,,Sí,Pallars Sobirà
Bernaví Vinyes i Celler,,Vins,Vilalba dels Arcs,"venta directa, web, email, telefon: podem portar a domicili en la zona o enviar amb missatgeria",www.bernavi.com,En conversió,Terra Alta
Biobastona,,"Vedella i espelta, tot ecològic certificat",Moià,"Servim a carnisseries, grups de consum i particulars. Demaneu informació per mail o whatsapp.",Instagram @biobastona,Sí,Moianes-Bages
Biocaseres,,Oli d'oliva verge extra empeltre Oli d'oliva verge extra arbequina Ametlle sense trencar marcona i llargueta Tomaquet de penjar,Caseres,Realitzar les comandes contactant directament al tfn XXXXXXXXX ,www.biocaseres.com,En conversió,Terra Alta
Biograssfed,Sí,"Tenim una carnisseria ecològica a Figueres, La Carnisseria Ecològica, des de on suministrem la nostra carn de vacu ecològica i alimentat 100% pastura, que produim a la nostra explotació de Can Genover, a Vilanant, així com carn de xai, pollastre i porc, embotits, formatges i productes lactics d’altres productors ecològics, de proximitat. Ho preparem al buit al obrador de la nistra carnisseria i ho enviem per transport en fred a casa dels consumidors.",Figueres,"Es pot comprar directament al e commerce de la web www.biograssfed.com, o be per recollir directament a la carnisseria de Figueres, per whataapp.",https://www.biograssfed.com/,Sí,Alt Empordà
Boisans food,Sí,Distribucions de productes alimentaris ecològics,Bigues i Riells,,www.boisans.cat,Sí,Vallès Oriental
Bolet Ben Fet,Sí,"Bolets frescos, ecològics, al peu del Montseny: gírgola de castanyer o maitake, xiitake, bolet de card,...",Sant Antoni de Vilamajor,"A botigues, parades de mercat i cooperatives de consumidors. A https://www.boletbenfet.com/botigues-on-trobar-nos/ trobareu el lloc més proper a casa vostra",www.boletbenfet.com,Sí,Vallès Oriental
Ca l'Elies,,Verdures i hortalisses,Tiana (Barcelona),Venda directa a la propia finca,,,Barcelonès
Ca la Col,,Verdura i fruita ecològica de temporada,Arenys de Munt,Venda directa,Www.hortcalacol.com,,Maresme
Cabra Catalana,,Carn de cabrit Carn de crestó Iogur natural de llet de cabra,Vilanova de Meia,,La cabra catalana es una raza autoctona de cabra de carne de las tierras de lleida considerada extinguida. Nuestro proyecto trabaja por la conservación y recuperación de estos animales. Instagram: @cabracatalana,,Noguera
Caixes de 5kg i 10kg de vedella ecològica,Sí,"A cada caixa hi va: bistecs, filets, daus, rodó, entrecot, xurrasco, carn picada, fricandó.",Cardona,Repartim vedella cada dos mesos. Fem punts de trobada per entregar el producte. Els horaris depenen de la zona però l'entrega es fa entre les 16h i les 20h. La comanda es fa a través del whatsapp i només es poden demanar caixes de 5kg i 10kg. No fem venda al detall ni a la finca.,Preu caixa 5kg de vedella ecològica: 11€/kg + 10% IVA transport inclós Preu caixa 10kg de vedella ecològica: 10.6€/kg + 10%IVA transport inclós,Sí,"Repartim al Bages, Solsonès, Barcelonès i Berguedà"
Cal Camat Agroecologia,,Llegums i blats antics,El Vendrell,Per correu o al telèfon,,Sí,Baix Penedès
Cal Cigarro SL,,"Verdura i fruita ecològica, oli, mel i làctics.",Salt,"Entrega a domicili a: Salt, Girona, Bescanó, Vilablareix, Cassà de la Selva, Fornells de la Selva, Caldes de Malavella, Quart, Llambilles, Sant Andreu Salou, Banyoles, Palol de Revardit, Cornellà, Rabós, Santa Llogaia i Sant Andreu de Terri, Sarrià de Ter i Sant Julià de Ramis.",www.calcigarro.cat,En conversió,Gironès
Cal Cot de Vilallobent,,Carn de xai eco,Puigcerdà,Contactar per telèfon o watsap. Entrega a domicili i tambè es realitzen enviaments. ( demanar les condicions ).,Som una petita empresa familiar que fem venda directe i. Els servim la carn tallada i envasada com els vagi millor.,Sí,Cerdanya
Cal Pauet,,"Xai, gra i farines",L'Espunyola,A domicili o recollida a la finca,,Sí,Berguedà
Cal Roio Ramaderia ecològica del Catllaràs,,"Pollastre ecològic, vedella ecològica.",La Nou de Berguedà,"Podem passar la informació de preus i formats , i rebre les les comandes per email o whatsap. Ho duem a domicili i també servim a cooperatives de consum.",www.calroiocatllaras.cat,Sí,Berguedà
Cal Serrats SCP,Sí,Carn de xai ecologica,Argençola,"A domicili a l'Anoia, les comandes per whats. Possible recollida a la masia.","Carn de xai tallada al gust. Formats: 1kg, 1,5kg, 2kg o mig xai. Talls barrejats. Pagament en efectiu o bizum www.calserrats.com",Sí,Anoia
Cal Tendé,Sí,Carn de vedella ecològica,Les Valls d'Aguilar,"Comandes per Telèfon, WhatsApp o Email Entregues a domicili o punts de recollida",Transport gratuït per comandes superiors a 100€ instagram.com/caltende,Sí,Alt Urgell
Calçots CaNicolau,Sí,Calçots crus i cuits amb salsa casolana Oli i avellanes.,Constantí,,"Nosaltres tenim calçots crus i els coiem, alhora que fem una salsa casolana molt bona. També venem avellanes sense closca i torrades .....oli de Ciurana. Www.canicolau.cat",,Tarragonès
Can Gual Agroturisme,Sí,Ous frescos de gallines criades a terra i horta de temporada ecològica Agroturisme,L'Ametlla del Vallès,Repartiment a domicili mercats locals La garriga Granollers Parets,www.cangual.net,,Vallès Oriental
Can Mas Roig,,Horta,Maçanet de la Selva,Directament a la finca o per wasap,canmasroig.com,,La Selva
"Can Mimó, Pastors i productors artesans",Sí,Iogurt de llet de cabra Flam de mató de llet de cabra Mató de llet de cabra Formatge fresc de llet de cabra,Vacarisses,Mercat municipal d'Olesa de Montserrat. Venda a domicili per compres superiors a 20€ a Vacarisses.,Pròximament punt de recollida a Esparreguera.,,Vallès Occidental
Can Plana,Sí,"Xai i cabrit, ramaderia semiextensiva",Vallgorguina,,Peça sencera o mitja (1/2 xai o cabrit o sencers). www.canplana.cat,,Baix Montseny
Can Serrà 1786,Sí,"Horta ecològica variada de temporada, agroturisme i cuina ecològica",Llagostera,informació i comandes a xxxx@xxxxx.cat o per whaap a XXXXXXXXX : comandes a domicili o recollida de comandes a la finca,,Sí,Gironès
"Can Terrades, Producció Agrària Ecològica SCP",Sí,Carn de Xai ecològica Carn de Cabrit ecològica,Sant Celoni,Comanda oer teléfon. Servei a domicili.,Comandes amb una setmana d'anticipació. https://canterrades-santceloni.com,Sí,Vallès Oriental
Can Tria Ecològic,,"Productors de verdura de temporada, maduixes i pans. Tot ecològic",Mataró,Fem venda directa en la pròpia masia. També fem mercats,Www.cantria.cat,Sí,Maresme
Can Verdet,,"Avellana, oli d’oliva arbequina i cistelles d'horta",Vilaplana ' Reus,Recollida a les afores de reus els dijous a la tarda.,"S'ofereixen cistelles tancades de verdura de temporada. Funcionament estil CSA (agricultura mantinguda comunitariament). Trucar per mes informació. Opcio de provarho durant 1 mes, despres es demana compromís.",,Anoia
Can Vers el Pastoret,Sí,Carn de xai ecològic,Vallcebre,"Comandes per telèfon,repartim a domicili tenim pàgina a Facebook xai ecològic can vers",Les comandes triguen una setmana depèn de lescorxador,Sí,Berguedà
Carns de muntanya (Coll de Gommà i Mas Ballart),,Carn de cabrit Carn de xai Carn de vedella,Cabanelles,,Instagram @carns_de_muntanya,,Alt Empordà
Castanya de Viladrau,Sí,"Castanya torrada, castanya deshidratada, farina de castanya, formatge de castanya (2 tipus), botifarra de castanya, cervesa i licor de castanya, i més elaborats",Viladrau,Poden trucar al telèfon de l'empresa (XXXXXXXXX /XXXXXXXXX ) o per via electrònica (xxxx@xxxxx.cat). L'horari és de 09:00 - 13:00 i 16:00 - 19:00 (a botiga). També enviem comandes arreu del territori.,,Sí,Osona
Cava Artístic,Sí,"Caves, Vins, Licors Catalans, Cerveses Artesanes i Hidromels",08380 Malgrat de Mar,"Carrer Nàpols, 19 de Malgrat de Mar. Recollida durant tot el dia Les comandes per telèfon al XXXXXXXXX ",www.cavaartistic.cat,,Alt Maresme
Celler Bàrbara Forés,Sí,Vins i oli d'oliva verge extra,Gandesa,Confinament: fem entregues a domicili. Compra a través de la nostra web. L'oli no figura a la web i cal contactar per privat (mail o telèfon). Resta de l'any: compra al celler en horari: de Dilluns a Dissabte de 10-13h i de 16-19h. Diumenges a convenir. També venta on line a través de la web.,"Agroecologia. Agricultura de secà. Gairebé tota la producció de vi està certificada amb el CCPAE. El que fa als olis, fa molt poquet que hem iniciat el projecte d'elaboració d'oli i és molt petit, per questions de despesa econòmica l'oli encara no té el segell tot i que tenim tota ""l'explotació agrària"" certificada. L'oli està molturat a un molí amb certificat CCPAE. www.cellerbarbarafores.com",Sí,Terra Alta
Celler Comalats,,Vins elaborats a la Segarra,L'Ametlla de Segarra,"Per comprar, envieu un mail a xxxx@xxxxx.cat o un wp al telf de contacte. Entregues a domicili a les comarques de l'Urgell i la Segarra, a la resta de comarques haurem de fer enviaments amb missatgeria.","Entenem que el vi en aquests moments no és un producte de primera necessitat. Però ens agradaria demanar a tothom que tot i això, ajudi als petits cellers del país, com nosaltres, a seguir endavant amb el nostre/seus projectes. www.comalats.cat",,Segarra
Celler Cooperatiu de Gandesa SCCL,,Vi i Oli,Gandesa,Venda directa en botiga o comandes per la botiga online,https://www.coopgandesa.com/,,Terra Alta
Celler La Gutina,,Oli i vi,Sant Climent Sescebes,,No estamos en urgència al momento però la situació serà molt complicada més endavant. Cellerlagutina.com,,Alt Empordà
Celler Lo,,"Elaborar vins ecològics de qualitat, DOQ Priorat, a un preu just",La Vilella Baixa,"tenim botiga online, o al celler",www.celler-lo.com,En conversió,Priorat
Celler López Schlecht,Sí,"Vi, oli d'oliva, melmelades, conserves.",Fonteta,Venda a la mateixa finca i a domicili al Baix Empordà (comanda mí­nima segons quilometratge).,,,Baix Empordà
Celler Talcomraja,Sí,vins i vermut natural,Arenys de Munt,Per correu electrònic o whatsapp se serveix a domicili,www.talcomraja.com,En conversió,Maresme
Central Parc Baix Llobregat,Sí,Verdures i fruites de temporada ecològiques,Sant Boi de Llobregat,https://centralparc.cat/,Tenim un punt de venta directa a Sant Boi dintre del mercat municipal de la Muntanyeta. Servim a botigues i mercats per barcelona i voltants. Fem grups de consums. I tenim moltes escoles Per qualsevol consulta d'espais o per comprar millor trucar al número de teléfon,Sí,Baix Llobregat
Cervesa Artesana Ecològica,Sí,Cervesa,Llivia,cervesalybica.com,,,Cerdanya
Cervesa Artesana Florestina,Sí,"Cervesa artesana: Pale Ale, Nature, Weiss weiss baby, Torrada, Ipa Lupuluuus, Apa Nen! (sense gluten)",la Floresta,"Jueves 10 15 a nuestra instalación Carrer qudra de canals 5, 08198 la Floresta Comanda via whatsapp +XXXXXXXXX 83 Posibilitat de reparto a centro de recogida como Cooperativa de consumo y centro sociales.",Hoy mas que nunca apoyamos a los productos locales Y artesanales ! Apuntate al consumo solidario y responsable ! https://laflorestinasocial.home.blog/; www.cervezaflorestina.com,,Barcelones
Collita de l'avi Pià,,Oli d'autor d'oliva verge extra 100 %arbequina. Collita i elaboració pròpia,Valls,Contacte per WhatsApp o Twitter xxxx@xxxxx. Enviament a tota Catalunya,"En temporada, tenim tomaquets varietats autòctones, tomacons, i ceba de figueres",,Alt Camp
Collita propia,Sí,Horta i fruita de temporada,Reus,Al Carrer dels recs 35 de reus 43201 obert de diuns a divendres de 17 a 21 dissabtes de 10 a 14,,,Baix Camp
Comic Beer,Sí,"Cerveses Artesanas: Blonde Ale amb taronja i gingebre i Ambre Ale i nous A part d’un aroma i textura especials, l'etiqueta de les meves cerveses son Còmics que expliquen històries. La primera es sobre els ingredients per fer la cervesa, uns ingredients que van a la recerca d’altres ingredients (Taronja i Gingebre) i la segona etiqueta, sobre com es va fer la primera cervesa ambre amb nous en l'època dels dinosaures.",Cardedeu,Venta directa. Fen la comanda per corre electronic xxxx@xxxxx.com o contactar per teléfono +XXXXXXXXX o what's up.,www.comicbeer.com,,Vallès Oriental
Cooperativa Agricola Sant Isidre Del Perelló,,"Oli, meli vi i tota classe de productes de km 0.",El Perelló,A la mateixa Agrobotiga. horari actual: de 9 a 13 de dilluns a dissabte. Comandes al telèfon: 977-XXXXXX o al correu: xxxx@xxxxx.com,Com a novetat d'aquest any: monovarietals i DOP. www.coperello.es,,Baix Ebre
Cor de fruita,,"Pomes, peres i cereals 100% eco",El Poal,,cordefruita.cat,Sí,Pla d’Urgell
Cultius respectuosos La Puput,,"Patata Porro Ceba Ametlla pelada Oli d'oliva (prensa en fred) arbequina, grossal i menya Farines (barbilla, espelta) Llegums (llentia pardina, verdina, cigró, moreu) Pinso de gallina",Aiguamurcia,Trucar o enviar e-mail,Estem sota minim ja....,Sí,Alt Camp
Cultures Trobades,,Pasta seca de blats antics recuperats (bosses de 5kgs d 'espirals),"Noguera,dif municipis",,,,Noguera
